year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,7270863,125089
2004,,0,0,0,0,7501157,120640
2005,,0,0,0,0,8018569,122520
2006,,0,0,0,0,9245193,53504
2007,,0,0,0,0,9168331,1106746
2008,,0,0,0,0,7379618,3043078
2009,,0,0,0,0,9190188,1354818
2010,,0,0,0,0,9130197,55408
2011,,0,0,0,0,10065152,245250
2012,,0,0,0,0,9592223,76013
2013,,0,0,0,0,9748541,303610
2014,start of forecast,0,0,0,0,9801972,3418028
2015,,0,0,0,0,9714245,3523755
2016,,0,0,0,0,9754919,3500081
2017,,0,0,0,0,9757046,3511954
2018,,0,0,0,0,9742070,3541930
2019,,0,0,0,0,9751345,3547655
2020,,0,0,0,0,9750154,3561846
2021,,0,0,0,0,9747856,3575144
2022,,0,0,0,0,9749785,3589215
2023,,0,0,0,0,9749265,3603735
2024,,0,0,0,0,9748969,3621031
2025,,0,0,0,0,9749340,3635660
2026,,0,0,0,0,9749191,3653809
2027,,0,0,0,0,9749166,3670834
2028,,0,0,0,0,9749232,3688768
2029,,0,0,0,0,9749197,3710803
2030,,0,0,0,0,9749198,3734802
2031,,0,0,0,0,9749209,3758791
2032,,0,0,0,0,9749201,3785799
2033,,0,0,0,0,9749203,3809797
2034,,0,0,0,0,9749205,3835795
2035,,0,0,0,0,9749203,3865797
2036,,0,0,0,0,9749204,3897796
2037,,0,0,0,0,9749204,3932796
2038,,0,0,0,0,9749203,3969797
2039,,0,0,0,0,9749204,4008796
2040,,0,0,0,0,9749204,4047796
