year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,18997.06,361032.81,1750387.3,37462.11,1746633.61,895536.71
2018,21320.66,400395.15,1960332.09,37671.82,1749852.76,912866.24
2019,24490.29,454336.14,2238305.54,37905.02,1754264.19,929139.63
2020,26106.84,480577.7,2397488.96,38072.46,1756410.3,944265.42
2021,27226.56,498072.07,2514653.19,38212.44,1757841.03,957285.05
2022,28229.4,512650.72,2631222.96,38380.63,1759033.31,973695.6
2023,28892.64,521397.91,2716661.85,38527.37,1759748.68,988107.29
2024,29600.37,530145.09,2814611.96,38705.08,1760464.05,1006035.73
2025,30293.82,538892.28,2914267.75,38866.29,1761179.41,1023978.41
2026,31196.91,550555.2,3030554.3,39057.52,1762133.24,1042076.35
2027,32011.66,560760.25,3147382.24,39237.39,1762967.83,1061876.76
2028,32666.69,568049.57,3244905.74,39416.42,1763563.97,1079793.44
2029,33651.18,579712.49,3385730.0,39647.99,1764517.79,1103214.7
2030,34309.36,585543.94,3503101.85,39879.82,1764994.71,1128113.48
2031,35439.8,598664.72,3670026.11,40139.34,1766067.76,1155173.14
2032,36520.02,610327.64,3838572.02,40413.44,1767021.58,1183944.3
2033,37581.91,621990.56,3997819.07,40665.64,1767975.4,1209225.53
2034,38770.59,635111.34,4182426.99,40935.27,1769048.45,1238139.01
2035,39754.96,643858.52,4350092.7,41234.81,1769763.82,1268592.57
2036,41059.64,656979.3,4562763.4,41559.97,1770836.87,1302858.79
2037,42051.76,664268.63,4754882.8,41904.68,1771433.01,1340332.9
2038,43477.58,677389.41,4997478.31,42283.78,1772506.06,1379967.43
2039,44762.74,687594.46,5239024.51,42677.07,1773340.66,1422989.08
2040,46357.81,702173.1,5510547.15,43075.88,1774532.94,1464579.49
