year,Base case cost,Modeled biomass for heat (cordwood)
2017,1857898.50656,1959623.61988
2018,2105687.48065,2195056.87911
2019,2438093.33313,2511357.21888
2020,2621381.85766,2685806.32407
2021,2753660.19396,2811571.53383
2022,2881012.4907,2933216.30523
2023,2971427.7392,3019488.35218
2024,3073205.92417,3117167.0187
2025,3176675.38119,3216579.61659
2026,3300014.71013,3335143.94973
2027,3421695.26539,3452470.09033
2028,3521482.443,3548702.37899
2029,3667653.15399,3690217.30522
2030,3783389.67056,3802855.51838
2031,3956124.96404,3970630.01915
2032,4128322.66708,4138282.96137
2033,4292395.24762,4297846.06805
2034,4482276.97669,4482872.88509
2035,4649872.36458,4646786.7074
2036,4866143.89231,4858269.83888
