year,Base case cost,Modeled wind power
2019,468668.587367,621361.515298
2020,495004.843463,634930.875104
2021,514230.761888,643470.653976
2022,530323.142563,650176.206077
2023,541994.90112,653757.356114
2024,552075.021454,656650.928452
2025,562270.688602,659393.739728
2026,575854.708657,664866.577074
2027,588209.035143,669616.003088
2028,597966.23657,672660.980812
2029,611853.280055,678780.095557
2030,620408.335497,681232.880032
2031,634133.154318,687405.407182
2032,648678.278991,694502.283194
2033,662611.235118,701088.595048
2034,678402.887994,709243.686747
2035,689119.663618,713977.35964
2036,703352.582332,721154.381577
2037,715257.730147,726874.321778
2038,730864.967249,735608.313843
