year,Base case diesel consumed,Modeled residential ashp
2017,9739.02974861,-51195.2511935
2018,9941.67768913,-50992.6032529
2019,10144.3256297,-50789.9553124
2020,10448.2975404,-50485.9834016
2021,10650.945481,-50283.3354611
2022,10853.5934215,-50080.6875206
2023,11056.241362,-49878.03958
2024,11360.2132728,-49574.0676693
2025,11562.8612133,-49371.4197287
2026,11765.5091539,-49168.7717882
2027,11968.1570944,-48966.1238477
2028,12170.8050349,-48763.4759072
2029,12474.7769457,-48459.5039964
2030,12677.4248862,-48256.8560559
2031,12880.0728267,-48054.2081153
