year,Base case diesel consumed,Modeled non-residential ashp
2017,18150.3795828,-21306.9672969
2018,18150.3795828,-21306.9672969
2019,18150.3795828,-21306.9672969
2020,18150.3795828,-21306.9672969
2021,18150.3795828,-21306.9672969
2022,18150.3795828,-21306.9672969
2023,18150.3795828,-21306.9672969
2024,18150.3795828,-21306.9672969
2025,18150.3795828,-21306.9672969
2026,18150.3795828,-21306.9672969
2027,18150.3795828,-21306.9672969
2028,18150.3795828,-21306.9672969
2029,18150.3795828,-21306.9672969
2030,18150.3795828,-21306.9672969
2031,18150.3795828,-21306.9672969
