year,Base case cost,Modeled non-residential energy efficiency
2017,933014.689029,1000966.9325
2018,990181.149216,1047802.68718
2019,1066403.09613,1111606.67797
2020,1100702.97224,1138363.58449
2021,1125475.10499,1156765.89691
2022,1144530.59172,1170187.45076
2023,1157869.43243,1178626.3013
2024,1167397.1758,1183768.46239
2025,1178830.46783,1190675.81997
2026,1194074.85722,1201034.47634
2027,1207413.69793,1209778.92194
2028,1216941.44129,1215219.51572
2029,1232185.83068,1225794.13869
2030,1239808.02537,1229685.74852
2031,1255052.41475,1240396.0448
