year,Base case cost,Modeled solar power (pv)
2016,321671.615053,334978.771976
2017,375400.8832,387449.850544
2018,415318.098508,426370.898648
2019,468668.587367,478529.706498
2020,495004.843463,504165.954857
2021,514230.761888,522812.290419
2022,530323.142563,538400.723932
2023,541994.90112,549642.404094
2024,552075.021454,559343.927481
2025,562270.688602,569149.812381
2026,575854.708657,582312.82709
2027,588209.035143,594276.167473
2028,597966.23657,603691.704234
2029,611853.280055,617186.057077
2030,620408.335497,625436.38206
2031,634133.154318,638786.176859
2032,648678.278991,652965.138822
2033,662611.235118,666540.604569
2034,678402.887994,681964.198434
2035,689119.663618,692397.141349
