year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,144513.27,9566.61,70032.25,30552.65
2018,144441.38,9566.26,70032.25,30552.65
2019,144513.27,9566.65,70032.25,30552.65
2020,144585.17,9567.09,70032.25,30552.65
2021,144585.17,9567.18,70032.25,30552.65
2022,144800.84,9567.99,70032.25,31789.76
2023,144944.62,9569.05,70032.25,31789.76
2024,145232.19,9570.39,70032.25,31789.76
2025,145375.97,9571.28,70032.25,31789.76
2026,145375.97,9571.17,70032.25,31789.76
2027,145232.19,9570.42,70032.25,31789.76
2028,145160.3,9570.06,70032.25,31789.76
2029,145232.19,9570.5,70032.25,31789.76
2030,145160.3,9569.99,70032.25,31789.76
2031,145016.51,9569.13,70032.25,31789.76
2032,145016.51,,,31789.76
2033,144872.73,,,31789.76
2034,144872.73,,,31789.76
2035,144800.84,,,31789.76
2036,144872.73,,,31789.76
