year,Base case cost,Modeled non-residential energy efficiency
2017,946029.254926,870580.701454
2018,998741.562637,918598.834071
2019,1070976.94728,984401.460249
2020,1108070.79345,1018191.99802
2021,1131498.48576,1039533.39029
2022,1151021.56269,1057317.88385
2023,1162735.40885,1067988.57999
2024,1174449.25501,1078659.27613
2025,1186163.10117,1089329.97226
2026,1201781.56271,1103557.56711
2027,1215447.71656,1116006.7126
2028,1227161.56272,1126677.40874
2029,1240827.71657,1139126.55423
2030,1250589.25504,1148018.80102
2031,1266207.71658,1162246.39586
