year,Base case diesel consumed,Modeled non-residential ashp
2017,128362.178207,89853.5247062
2018,128362.178207,89853.5247062
2019,128362.178207,89853.5247062
2020,128362.178207,89853.5247062
2021,128362.178207,89853.5247062
2022,128362.178207,89853.5247062
2023,128362.178207,89853.5247062
2024,128362.178207,89853.5247062
2025,128362.178207,89853.5247062
2026,128362.178207,89853.5247062
2027,128362.178207,89853.5247062
2028,128362.178207,89853.5247062
2029,128362.178207,89853.5247062
2030,128362.178207,89853.5247062
2031,128362.178207,89853.5247062
