year,Base case cost,Modeled biomass for heat (pellet)
2017,370011.220016,431488.748469
2018,404668.960016,456212.047119
2019,452162.900016,490092.123046
2020,476551.680016,507489.999874
2021,491955.120016,518478.132607
2022,504791.320016,527634.909885
2023,512493.040016,533128.976251
2024,520194.760016,538623.042618
2025,527896.480016,544117.108984
2026,538165.440016,551442.530806
2027,547150.780016,557852.274901
2028,554852.500016,563346.341267
2029,563837.840016,569756.085362
2030,570255.940016,574334.474001
2031,580524.900016,581659.895823
2032,,
2033,,
2034,,
2035,,
2036,,
