year,Base case cost,Modeled biomass for heat (cordwood)
2017,370011.220016,484075.5025
2018,404668.960016,509701.932182
2019,452162.900016,544819.632116
2020,476551.680016,562853.045596
2021,491955.120016,574242.569899
2022,504791.320016,583733.840151
2023,512493.040016,589428.602302
2024,520194.760016,595123.364454
2025,527896.480016,600818.126605
2026,538165.440016,608411.142807
2027,547150.780016,615055.031984
2028,554852.500016,620749.794136
2029,563837.840016,627393.683312
2030,570255.940016,632139.318438
2031,580524.900016,639732.33464
2032,,
2033,,
2034,,
2035,,
2036,,
