year,Base case diesel consumed,Modeled non-residential ashp
2017,39575.412449,26287.1417196
2018,40626.7596494,27338.48892
2019,41678.1068498,28389.8361204
2020,42729.4540503,29441.1833209
2021,43780.8012507,30492.5305213
2022,45883.4956515,32595.2249221
2023,46934.842852,33646.5721225
2024,47986.1900524,34697.919323
2025,50088.8844532,36800.6137238
2026,51140.2316537,37851.9609242
2027,52191.5788541,38903.3081247
2028,54294.2732549,41006.0025255
2029,55345.6204554,42057.3497259
2030,57448.3148562,44160.0441268
2031,58499.6620566,45211.3913272
