year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,128047.95,1758.82,78486.61,97312.33
2018,128713.33,1715.33,78486.61,98393.34
2019,129378.71,1665.5,78486.61,100555.37
2020,130044.08,1619.16,78486.61,102717.39
2021,130635.53,1577.16,78486.61,103798.41
2022,131153.04,1537.74,78486.61,104879.42
2023,131744.49,1499.29,78486.61,107041.45
2024,132262.0,1461.07,78486.61,108122.46
2025,132779.52,1422.34,78486.61,109203.47
2026,133370.96,1381.66,78486.61,110284.48
2027,134036.34,1335.42,78486.61,112446.51
2028,134701.72,1285.06,78486.61,114608.54
2029,135293.16,1243.75,78486.61,115689.55
2030,135884.61,1202.31,78486.61,116770.56
2031,136476.05,1161.01,78486.61,118932.59
2032,137067.5,,,120013.6
2033,137585.01,,,121094.61
2034,138176.46,,,123256.64
2035,138989.69,,,125418.67
2036,139581.14,,,126499.68
