year,Base case cost,Modeled wind power,Chefornak wind heat system
2019,407542.922055,652309.480002,757842.419281
2020,433046.791773,672531.263592,777136.533983
2021,451998.923849,687668.555686,791603.842991
2022,466904.829326,699639.96887,803059.88457
2023,478232.489465,708913.484404,811972.63998
2024,486724.168382,715937.917174,818739.386948
2025,497923.189123,725082.793309,827523.502959
2026,510810.786796,735622.797147,837651.209514
2027,522741.721355,745499.587102,847167.239345
2028,532071.774283,753362.393883,854772.360323
2029,545231.436891,764174.462656,865172.131812
2030,554409.1926,771884.972218,872624.955572
2031,567740.374405,782868.560189,883196.246259
2032,581166.187493,793946.779441,893862.168228
2033,595743.101405,805882.65029,905334.204632
2034,609358.177056,817150.132106,916189.389164
2035,621283.936468,827315.196141,926045.230237
2036,636490.000542,839880.217151,938146.416802
2037,646195.621369,848118.591831,946127.10568
2038,661590.948006,860872.875404,958417.554809
