year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,26051.52,822941.0,822941.0
2004,,26051.52,844945.0,844945.0
2005,,26051.52,859066.0,859066.0
2006,,26051.52,884332.0,884332.0
2007,,26051.52,918981.0,918981.0
2008,,26051.52,1062600.0,1062600.0
2009,,26051.52,1221617.0,1221617.0
2010,,26051.52,1331348.0,1331348.0
2011,,26051.52,1660501.0,1660501.0
2012,,26051.52,1891691.0,1891691.0
2013,,26051.52,1645465.0,1645465.0
2014,start of forecast,26051.52,1702000.0,1702000.0
2015,,26051.52,1713000.0,1713000.0
2016,,26051.52,1723000.0,1723000.0
2017,,26051.52,1732000.0,1732000.0
2018,,26051.52,1741000.0,1741000.0
2019,,26051.52,1750000.0,1750000.0
2020,,26051.52,1759000.0,1759000.0
2021,,26051.52,1767000.0,1767000.0
2022,,26051.52,1774000.0,1774000.0
2023,,26051.52,1782000.0,1782000.0
2024,,26051.52,1789000.0,1789000.0
2025,,26051.52,1796000.0,1796000.0
2026,,26051.52,1804000.0,1804000.0
2027,,26051.52,1813000.0,1813000.0
2028,,26051.52,1822000.0,1822000.0
2029,,26051.52,1830000.0,1830000.0
2030,,26051.52,1838000.0,1838000.0
2031,,26051.52,1846000.0,1846000.0
2032,,26051.52,1854000.0,1854000.0
2033,,26051.52,1861000.0,1861000.0
2034,,26051.52,1869000.0,1869000.0
2035,,26051.52,1880000.0,1880000.0
2036,,26051.52,1888000.0,1888000.0
2037,,26051.52,1896000.0,1896000.0
2038,,26051.52,1904000.0,1904000.0
2039,,26051.52,1913000.0,1913000.0
2040,,26051.52,1922000.0,1922000.0
