year,Base case diesel consumed,Modeled transmission and interties
2021,308666.666667,154333.333333
2022,308833.333333,154416.666667
2023,308833.333333,154416.666667
2024,308833.333333,154416.666667
2025,309000.0,154500.0
2026,309000.0,154500.0
2027,309166.666667,154583.333333
2028,309166.666667,154583.333333
2029,309500.0,154750.0
2030,309666.666667,154833.333333
2031,309833.333333,154916.666667
2032,309666.666667,154833.333333
2033,309666.666667,154833.333333
2034,309666.666667,154833.333333
2035,309666.666667,154833.333333
2036,309666.666667,154833.333333
2037,309666.666667,154833.333333
2038,309500.0,154750.0
2039,309500.0,154750.0
2040,309333.333333,154666.666667
