year,Base case diesel consumed,Modeled residential ashp
2017,40533.0138092,13824.1735831
2018,40533.0138092,13824.1735831
2019,40533.0138092,13824.1735831
2020,40533.0138092,13824.1735831
2021,40533.0138092,13824.1735831
2022,40533.0138092,13824.1735831
2023,39049.3844884,12340.5442623
2024,39049.3844884,12340.5442623
2025,39049.3844884,12340.5442623
2026,39049.3844884,12340.5442623
2027,39049.3844884,12340.5442623
2028,39049.3844884,12340.5442623
2029,39049.3844884,12340.5442623
2030,37565.7551676,10856.9149415
2031,37565.7551676,10856.9149415
