year,Base case cost,Modeled transmission and interties
2021,1018600.0,943895.14308
2022,1053121.66667,976709.618053
2023,1077828.33333,1000194.47186
2024,1096358.33333,1017808.11222
2025,1121670.0,1041868.04711
2026,1149480.0,1068302.76586
2027,1174833.33333,1092402.30689
2028,1193383.33333,1110034.95819
2029,1222525.0,1137735.48901
2030,1238666.66667,1153078.90571
2031,1270316.66667,1183163.72586
2032,1297503.33333,1209005.93683
2033,1328470.0,1238441.21636
2034,1359436.66667,1267876.4959
2035,1381113.33333,1288481.19157
2036,1412080.0,1317916.4711
2037,1430660.0,1335577.63882
2038,1463935.0,1367207.09824
2039,1488695.0,1390742.6479
2040,1525013.33333,1425264.93942
