year,Base case cost,Modeled diesel efficiency
2019,3593559.34921,4115331.38436
2020,3810188.15868,4292380.90213
2021,3955745.30045,4405285.88515
2022,4067763.78389,4488156.3278
2023,4135654.98916,4531355.54538
2024,4202596.02718,4574125.03746
2025,4283303.14396,4629833.03725
2026,4358594.72239,4681031.77665
2027,4428527.10902,4727762.77682
2028,4480058.60732,4758160.47462
2029,4561041.39033,4815717.595
2030,4612259.64297,4846592.54096
2031,4699308.45863,4910408.39321
2032,4790427.59561,4978283.58672
2033,4877904.31992,5043198.12953
2034,4968672.36581,5111447.19951
2035,5003624.30079,5129288.74052
2036,5103601.11817,5206570.36475
2037,5152805.39101,5238014.0297
2038,5257441.85629,5320162.02287
