year,Base case cost,Modeled residential energy efficiency
2017,8219398.72112,8347532.04729
2018,8589158.55585,8627615.06281
2019,9047456.26821,8975346.59587
2020,9255251.45704,9114180.59341
2021,9416039.89507,9218744.02462
2022,9552013.25749,9306403.20685
2023,9618849.75744,9332819.99722
2024,9696853.55066,9371069.66186
2025,9778998.2735,9411705.93504
2026,9826215.00472,9418048.96666
2027,9837516.43615,9389096.57021
2028,9808487.38591,9322823.33875
2029,9899788.2187,9375066.84398
2030,9936748.47434,9378355.68
2031,9994684.2738,9395970.91866
