year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,1380474.23,14254.89,1672991.49,1124391.57
2018,1373772.35,14247.96,1672991.49,1123017.67
2019,1371587.54,14222.5,1672991.49,1114774.24
2020,1370571.28,14203.74,1672991.49,1109278.62
2021,1368770.0,14199.2,1672991.49,1107904.71
2022,1369617.44,14202.84,1672991.49,1109278.62
2023,1369422.18,14200.38,1672991.49,1107904.71
2024,1368923.79,14197.75,1672991.49,1107904.71
2025,1368467.46,14193.29,1672991.49,1106530.81
2026,1366330.63,14176.37,1672991.49,1101035.19
2027,1362623.73,14147.02,1672991.49,1091417.85
2028,1357593.52,14106.12,1672991.49,1079052.7
2029,1357452.79,14105.23,1672991.49,1079052.7
2030,1356546.95,14098.2,1672991.49,1076304.89
2031,1354267.57,14079.86,1672991.49,1070809.27
