year,Base case cost,Modeled water and wastewater efficiency
2017,141740.857555,280396.28039
2018,148384.269893,280800.103263
2019,157288.331456,282880.866577
2020,161500.607152,281779.179417
2021,164507.817479,279931.995453
2022,166794.142199,277674.716428
2023,168154.512933,274859.426058
2024,169511.868424,272130.258863
2025,171120.240734,269662.461651
2026,172539.926972,267144.75845
2027,173766.010933,264571.694058
2028,174529.336465,261753.284833
2029,176177.258497,259638.673576
2030,177175.667976,257145.469627
2031,178824.578321,255179.708771
