year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,14254.8942848,9265.68128511
2018,14247.9551863,9261.17087111
2019,14222.5047083,9244.6280604
2020,14203.7437881,9232.43346225
2021,14199.200013,9229.48000847
2022,14202.8377019,9231.84450626
2023,14200.3769909,9230.24504407
2024,14197.7521434,9228.53889324
2025,14193.285766,9225.63574792
2026,14176.3650413,9214.63727687
2027,14147.021996,9195.56429737
2028,14106.1160106,9168.97540686
2029,14105.2259377,9168.39685953
2030,14098.1987661,9163.82919797
2031,14079.8555262,9151.90609205
