year,Base case diesel consumed,Modeled solar power
2020,724628.16183,714717.124355
2021,724344.744147,714512.994971
2022,724061.326464,714308.231281
2023,723777.90878,714102.83836
2024,723565.345518,713967.67566
2025,723281.927835,713761.039336
2026,723069.364572,713624.643181
2027,722856.80131,713487.63769
2028,722573.383626,713279.173316
2029,722573.383626,713353.526998
2030,722502.529205,713356.43143
2031,722360.820364,713287.891371
2032,722148.257101,713147.91154
2033,721793.984997,712865.642201
2034,721510.567314,712653.65126
2035,721227.14963,712441.088905
2036,721085.440789,712369.668549
2037,721014.586368,712368.540306
2038,720872.877526,712295.999833
2039,720731.168685,712222.906013
