year,Base case cost,Modeled solar power
2020,2028958.85312,2095412.3582
2021,2122330.10035,2185735.54097
2022,2193905.81918,2254621.6964
2023,2243711.51722,2302087.96723
2024,2279230.83838,2335513.79676
2025,2328967.80763,2383016.59278
2026,2386128.90309,2437900.73886
2027,2436027.42041,2485668.05744
2028,2471200.972,2518945.73808
2029,2529006.84269,2574624.53778
2030,2564883.97868,2608697.79264
2031,2622169.77792,2663950.89522
2032,2686391.51642,2726096.69215
2033,2742817.14299,2780582.85998
2034,2806676.10685,2842458.57225
2035,2848847.24104,2882955.27428
2036,2913185.18079,2945397.37716
2037,2956159.80411,2986778.91644
2038,3020457.35684,3049264.38898
2039,3070314.7786,3097521.48129
