year,Base case cost,Modeled diesel efficiency
2019,1899082.69974,2265524.52046
2020,2028958.85312,2370958.92964
2021,2122330.10035,2443503.18913
2022,2193905.81918,2496522.52003
2023,2243711.51722,2530033.33317
2024,2279230.83838,2550832.32219
2025,2328967.80763,2584825.77331
2026,2386128.90309,2625831.44515
2027,2436027.42041,2660491.62378
2028,2471200.972,2682016.30071
2029,2529006.84269,2724360.76496
2030,2564883.97868,2747009.22672
2031,2622169.77792,2789353.71386
2032,2686391.51642,2838231.7295
2033,2742817.14299,2880245.15312
2034,2806676.10685,2929233.71705
2035,2848847.24104,2958718.53401
2036,2913185.18079,3008562.47467
2037,2956159.80411,3039187.83804
2038,3020457.35684,3089395.55319
