year,Base case diesel consumed,Yerrick creek hydropower project: construction,Yerrick creek,"Tetlin, last tetlin village (mice creek)",Dot lake (bear creek),Cathedral rapids,Tok (clearwater creek)
2020,724628.16183,464595.472287,,,,,
2021,724344.744147,464312.054604,464312.054604,704762.690588,626859.019516,0.0,664961.768719
2022,724061.326464,464028.636921,464028.636921,704479.272904,626575.601833,-283.417683321,664678.351035
2023,723777.90878,463745.219237,463745.219237,704195.855221,626292.18415,-566.835366642,664394.933352
2024,723565.345518,463532.655975,463532.655975,703983.291958,626079.620887,-779.398629132,664182.37009
2025,723281.927835,463249.238292,463249.238292,703699.874275,625796.203204,-1062.81631245,663898.952406
2026,723069.364572,463036.675029,463036.675029,703487.311013,625583.639941,-1275.37957494,663686.389144
2027,722856.80131,462824.111767,462824.111767,703274.74775,625371.076679,-1487.94283743,663473.825881
2028,722573.383626,462540.694083,462540.694083,702991.330067,625087.658996,-1771.36052075,663190.408198
2029,722573.383626,462540.694083,462540.694083,702991.330067,625087.658996,-1771.36052075,663190.408198
2030,722502.529205,462469.839662,462469.839662,702920.475646,625016.804575,-1842.21494158,663119.553777
2031,722360.820364,462328.130821,462328.130821,702778.766804,624875.095733,-1983.92378325,662977.844935
2032,722148.257101,462115.567558,462115.567558,702566.203542,624662.532471,-2196.48704574,662765.281673
2033,721793.984997,461761.295454,461761.295454,702211.931438,624308.260366,-2550.75914989,662411.009569
2034,721510.567314,461477.877771,461477.877771,701928.513754,624024.842683,-2834.17683321,662127.591886
2035,721227.14963,461194.460087,461194.460087,701645.096071,623741.425,-3117.59451653,661844.174202
2036,721085.440789,461052.751246,461052.751246,701503.387229,623599.716158,-3259.30335819,661702.465361
2037,721014.586368,460981.896825,460981.896825,701432.532809,623528.861737,-3330.15777902,661631.61094
2038,720872.877526,460840.187983,460840.187983,701290.823967,623387.152896,-3471.86662068,661489.902098
2039,720731.168685,460698.479142,460698.479142,701149.115125,623245.444054,-3613.57546234,661348.193256
2040,720518.605422,460485.915879,460485.915879,700936.551863,623032.880791,-3826.13872483,661135.629994
2041,720306.04216,460273.352617,460273.352617,700723.9886,622820.317529,-4038.70198732,660923.066731
2042,720164.333318,460131.643775,460131.643775,700582.279759,622678.608687,-4180.41082898,660781.35789
2043,720022.624476,459989.934933,459989.934933,700440.570917,622536.899846,-4322.11967064,660639.649048
2044,719880.915635,459848.226092,459848.226092,700298.862075,622395.191004,-4463.8285123,660497.940206
2045,719810.061214,459777.371671,459777.371671,700228.007654,622324.336583,-4534.68293313,660427.085786
2046,719597.497951,459564.808408,459564.808408,700015.444392,622111.773321,-4747.24619562,660214.522523
2047,719455.78911,459423.099567,459423.099567,699873.73555,621970.064479,-4888.95503728,660072.813681
2048,719314.080268,459281.390725,459281.390725,699732.026709,621828.355637,-5030.66387894,659931.10484
2049,719172.371426,459139.681883,459139.681883,699590.317867,621686.646796,-5172.3727206,659789.395998
2050,719030.662585,458997.973042,458997.973042,699448.609025,621544.937954,-5314.08156226,659647.687156
2051,719030.662585,458997.973042,458997.973042,699448.609025,621544.937954,-5314.08156226,659647.687156
2052,719030.662585,458997.973042,458997.973042,699448.609025,621544.937954,-5314.08156226,659647.687156
2053,719030.662585,458997.973042,458997.973042,699448.609025,621544.937954,-5314.08156226,659647.687156
2054,719030.662585,458997.973042,458997.973042,699448.609025,621544.937954,-5314.08156226,659647.687156
2055,719030.662585,458997.973042,458997.973042,699448.609025,621544.937954,-5314.08156226,659647.687156
2056,719030.662585,458997.973042,458997.973042,699448.609025,621544.937954,-5314.08156226,659647.687156
2057,719030.662585,458997.973042,458997.973042,699448.609025,621544.937954,-5314.08156226,659647.687156
2058,719030.662585,458997.973042,458997.973042,699448.609025,621544.937954,-5314.08156226,659647.687156
2059,719030.662585,458997.973042,458997.973042,699448.609025,621544.937954,-5314.08156226,659647.687156
2060,719030.662585,458997.973042,458997.973042,699448.609025,621544.937954,-5314.08156226,659647.687156
2061,719030.662585,458997.973042,458997.973042,699448.609025,621544.937954,-5314.08156226,659647.687156
2062,719030.662585,458997.973042,458997.973042,699448.609025,621544.937954,-5314.08156226,659647.687156
2063,719030.662585,458997.973042,458997.973042,699448.609025,621544.937954,-5314.08156226,659647.687156
2064,719030.662585,458997.973042,458997.973042,699448.609025,621544.937954,-5314.08156226,659647.687156
2065,719030.662585,458997.973042,458997.973042,699448.609025,621544.937954,-5314.08156226,659647.687156
2066,719030.662585,458997.973042,458997.973042,699448.609025,621544.937954,-5314.08156226,659647.687156
2067,719030.662585,458997.973042,458997.973042,699448.609025,621544.937954,-5314.08156226,659647.687156
2068,719030.662585,458997.973042,458997.973042,699448.609025,621544.937954,-5314.08156226,659647.687156
2069,719030.662585,458997.973042,458997.973042,699448.609025,621544.937954,-5314.08156226,659647.687156
2070,719030.662585,,458997.973042,699448.609025,621544.937954,-5314.08156226,659647.687156
