year,Base case cost,Tok wind construction_vwp,Chisana mountain wind feasibility project,Modeled wind power
2019,1899082.69974,2396046.60085,2396046.60085,2396046.60085
2020,2028958.85312,2478105.30371,2478105.30371,2478105.30371
2021,2122330.10035,2532307.45797,2532307.45797,2532307.45797
2022,2193905.81918,2570063.90886,2570063.90886,2570063.90886
2023,2243711.51722,2591390.38954,2591390.38954,2591390.38954
2024,2279230.83838,2602116.73681,2602116.73681,2602116.73681
2025,2328967.80763,2624160.60708,2624160.60708,2624160.60708
2026,2386128.90309,2652363.6371,2652363.6371,2652363.6371
2027,2436027.42041,2675318.75624,2675318.75624,2675318.75624
2028,2471200.972,2687199.15754,2687199.15754,2687199.15754
2029,2529006.84269,2717132.33872,2717132.33872,2717132.33872
2030,2564883.97868,2730414.53779,2730414.53779,2730414.53779
2031,2622169.77792,2760509.49654,2760509.49654,2760509.49654
2032,2686391.51642,2796225.11897,2796225.11897,2796225.11897
2033,2742817.14299,2826110.16695,2826110.16695,2826110.16695
2034,2806676.10685,2862098.03617,2862098.03617,2862098.03617
2035,2848847.24104,2881637.25335,2881637.25335,2881637.25335
2036,2913185.18079,2918709.70193,2918709.70193,2918709.70193
2037,2956159.80411,2939643.81799,2939643.81799,2939643.81799
2038,3020457.35684,2977253.4281,2977253.4281,2977253.4281
