year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,725336.71,10916.9,961606.93,666299.29
2018,725053.29,10908.83,961606.93,663289.19
2019,724840.73,10903.16,961606.93,660279.08
2020,724628.16,10896.19,961606.93,657268.98
2021,724344.74,10888.25,961606.93,652753.83
2022,724061.33,10880.62,961606.93,649743.72
2023,723777.91,10872.33,961606.93,645228.57
2024,723565.35,10864.85,961606.93,642218.47
2025,723281.93,10857.53,961606.93,639208.37
2026,723069.36,10850.68,961606.93,634693.21
2027,722856.8,10843.46,961606.93,631683.11
2028,722573.38,10836.12,961606.93,628673.01
2029,722573.38,10835.44,961606.93,628673.01
2030,722502.53,10833.46,961606.93,627167.95
2031,722360.82,10829.71,961606.93,625662.9
2032,722148.26,10822.12,961606.93,621147.75
2033,721793.98,10812.65,961606.93,616632.59
2034,721510.57,10803.72,961606.93,613622.49
2035,721227.15,10796.42,961606.93,609107.34
2036,721085.44,10791.41,961606.93,607602.29
2037,721014.59,10789.48,961606.93,606097.24
2038,720872.88,10786.15,961606.93,604592.18
2039,720731.17,10781.57,961606.93,603087.13
2040,720518.61,10775.19,961606.93,600077.03
