year,Base case cost,Yerrick creek hydropower project: construction,Yerrick creek,"Tetlin, last tetlin village (mice creek)",Dot lake (bear creek),Cathedral rapids,Tok (clearwater creek)
2020,2028958.85312,2553486.09861,,,,,
2021,2122330.10035,2592665.93745,10670331.114,3427167.85699,3130478.24812,8250884.13,3673149.13618
2022,2193905.81918,2617651.72053,10538915.4479,3470656.31918,3168481.61772,8078839.42279,3706137.63354
2023,2243711.51722,2628455.96181,10396983.8988,3493522.28389,3187937.35328,7911873.677,3719744.09279
2024,2279230.83838,2630200.58926,10249572.4802,3503058.0418,3195434.84897,7749735.17173,3720897.46688
2025,2328967.80763,2641981.129,10115692.8196,3527045.91549,3215942.26304,7590264.14145,3735938.19487
2026,2386128.90309,2659340.98474,9990806.38627,3558855.49176,3243533.74482,7434223.00733,3758591.79142
2027,2436027.42041,2672279.68806,9864832.69689,3584140.39402,3265271.21048,7282126.58671,3775227.43745
2028,2471200.972,2675672.33795,9732568.71429,3595601.98252,3274560.54509,7134072.49525,3778902.58871
2029,2529006.84269,2695119.8145,9619539.00966,3629700.22076,3304343.72321,6989118.81356,3804276.11534
2030,2564883.97868,2700144.21942,9495191.16842,3642922.89241,3315331.76378,6848485.9944,3809989.78097
2031,2622169.77792,2719978.0412,9388684.90535,3677533.77287,3345566.66891,6709572.48368,3836146.87875
2032,2686391.51642,2744836.11354,9290163.98843,3719401.97185,3382325.75221,6573116.64534,3869332.47097
2033,2742817.14299,2764674.18895,9189514.77013,3754137.55215,3412627.26389,6439599.29664,3895872.64655
2034,2806676.10685,2790013.65301,9097190.86161,3796604.76611,3449928.63045,6308890.38585,3929909.57599
2035,2848847.24104,2801119.67083,8993391.24153,3818378.89372,3468620.78592,6182372.10323,3944453.79713
2036,2913185.18079,2827743.17036,8907802.20398,3862242.31739,3507264.25861,6057968.83298,3980127.56946
2037,2956159.80411,2840438.86846,8810915.3468,3885715.67047,3527602.80402,5937944.14283,3996606.00946
2038,3020457.35684,2867789.74573,8731252.00951,3930413.44959,3567029.03496,5819057.22675,4033343.62296
2039,3070314.7786,2885768.98566,8644725.18095,3961446.94568,3594173.58622,5703698.31326,4057246.76818
2040,3148666.30569,2923207.98113,8580107.46877,4020679.12642,3646677.5133,5588877.63959,4108018.54809
2041,3147737.40424,2907559.12255,8464793.85687,4002979.23944,3629966.87276,5481412.20893,4085918.84997
2042,3147118.1366,2892564.89679,8352470.77044,3985982.05626,3613935.75055,5376753.36198,4064624.97622
2043,3146498.86896,2877907.58397,8242765.74124,3969368.73032,3598265.84354,5274532.94172,4043815.66335
2044,3145879.60132,2863579.28793,8135617.41031,3953130.26523,3582948.68599,5174693.79917,4023479.55481
2045,3145569.9675,2849881.93109,8031275.48827,3937567.50892,3568285.64408,5077489.75638,4003915.19358
2046,3144641.06605,2835879.08135,7928752.55529,3921742.98003,3553339.74252,4981937.40861,3984182.84737
2047,3144021.79841,2822492.28615,7828920.3666,3906577.20127,3539031.99827,4888912.43203,3965200.84078
2048,3143402.53077,2809404.72976,7731413.47993,3891752.35625,3525045.07758,4798053.21348,3946649.21074
2049,3142783.26313,2796609.39894,7636177.39715,3877260.45449,3511371.4613,4709308.99408,3928517.87049
2050,3142163.9955,2784099.4446,7543158.89605,3863093.69261,3498003.80632,4622630.20331,3910796.96947
2051,3142163.9955,2772487.44589,7452925.26974,3849863.71778,3485554.20933,4538587.70036,3894096.15563
2052,3142163.9955,2761147.60336,7364806.4937,3836943.82043,3473396.39972,4456514.94323,3877786.76706
2053,3142163.9955,2750073.53847,7278753.00216,3824326.73328,3461523.53887,4376365.76701,3861859.62991
2054,3142163.9955,2739259.0219,7194716.38878,3812005.35903,3449928.94812,4298095.08658,3846305.78493
2055,3142163.9955,2728697.97058,7112649.38356,3799972.76699,3438606.10559,4221658.87527,3831116.4832
2056,3142163.9955,2718384.4439,7032505.82382,3788222.18884,3427548.6422,4147014.1377,3816283.18074
2057,3142163.9955,2708312.64047,6954240.62852,3776747.01482,3416750.33806,4074118.88594,3801797.53376
2058,3142163.9955,2698476.89502,6877809.77445,3765540.7903,3406205.11928,4002932.11731,3787651.39426
2059,3142163.9955,2688871.67479,6803170.26795,3754597.21158,3395907.05399,3933413.78804,3773836.8048
2060,3142163.9955,2679491.57687,6730280.12464,3743910.12296,3385850.34956,3865524.79438,3760345.99474
2061,3142163.9955,2670331.32507,6659098.34466,3733473.51306,3376029.34923,3799226.94956,3747171.37565
2062,3142163.9955,2661385.7666,6589584.88707,3723281.51112,3366438.52852,3734482.95994,3734305.53659
2063,3142163.9955,2652649.86969,6521700.65133,3713328.38425,3357072.49269,3671256.40776,3721741.24066
2064,3142163.9955,2644118.72038,6455407.45255,3703608.53383,3347925.97335,3609511.72807,3709471.42045
2065,3142163.9955,2635787.51995,6390668.0012,3694116.49248,3338993.82564,3549214.18984,3697489.17427
2066,3142163.9955,2627651.58185,6327445.87924,3684846.92063,3330271.02493,3490329.87378,3685787.7617
2067,3142163.9955,2619706.32994,6265705.52694,3675794.60454,3321752.66503,3432825.65996,3674360.6012
2068,3142163.9955,2611947.29481,6205412.21364,3666954.45204,3313433.95412,3376669.20069,3663201.26469
2069,3142163.9955,2604370.11215,6146532.02548,3658321.4907,3305310.21308,3321828.909,3652303.47524
2070,3142163.9955,,6089031.84153,3649890.86437,3297376.87219,3268273.93646,3641661.10269
