year,Base case diesel consumed,Modeled diesel efficiency
2019,724840.725093,658946.113721
2020,724628.16183,658752.874391
2021,724344.744147,658495.221952
2022,724061.326464,658237.569512
2023,723777.90878,657979.917073
2024,723565.345518,657786.677744
2025,723281.927835,657529.025304
2026,723069.364572,657335.785975
2027,722856.80131,657142.546645
2028,722573.383626,656884.894206
2029,722573.383626,656884.894206
2030,722502.529205,656820.481096
2031,722360.820364,656691.654876
2032,722148.257101,656498.415547
2033,721793.984997,656176.349997
2034,721510.567314,655918.697558
2035,721227.14963,655661.045119
2036,721085.440789,655532.218899
2037,721014.586368,655467.805789
2038,720872.877526,655338.979569
