year,Base case diesel consumed,Tok wind construction_vwp,Chisana mountain wind feasibility project,Modeled wind power
2019,724840.725093,532159.431489,532159.431489,532159.431489
2020,724628.16183,531946.868227,531946.868227,531946.868227
2021,724344.744147,531663.450544,531663.450544,531663.450544
2022,724061.326464,531380.03286,531380.03286,531380.03286
2023,723777.90878,531096.615177,531096.615177,531096.615177
2024,723565.345518,530884.051914,530884.051914,530884.051914
2025,723281.927835,530600.634231,530600.634231,530600.634231
2026,723069.364572,530388.070969,530388.070969,530388.070969
2027,722856.80131,530175.507706,530175.507706,530175.507706
2028,722573.383626,529892.090023,529892.090023,529892.090023
2029,722573.383626,529892.090023,529892.090023,529892.090023
2030,722502.529205,529821.235602,529821.235602,529821.235602
2031,722360.820364,529679.52676,529679.52676,529679.52676
2032,722148.257101,529466.963498,529466.963498,529466.963498
2033,721793.984997,529112.691394,529112.691394,529112.691394
2034,721510.567314,528829.27371,528829.27371,528829.27371
2035,721227.14963,528545.856027,528545.856027,528545.856027
2036,721085.440789,528404.147185,528404.147185,528404.147185
2037,721014.586368,528333.292764,528333.292764,528333.292764
2038,720872.877526,528191.583923,528191.583923,528191.583923
