year,Base case cost,"Unalakleet (east fork of south river) -- south river, east fork"
2021,672066.502141,5308229.81749
2022,689812.014007,5212078.52763
2023,701240.789737,5116764.68803
2024,712708.6899,5023804.88915
2025,723869.893648,4932799.05451
2026,739880.787641,4845661.4446
2027,753292.460449,4759675.11818
2028,762178.634371,4674457.83851
2029,775767.141124,4592809.80878
2030,784429.767528,4511432.90956
2031,800300.40664,4434441.12176
2032,816160.106361,4359353.24863
2033,831997.548082,4286113.09139
2034,847815.329053,4214679.42094
2035,858959.999547,4143545.12751
2036,874743.130636,4075601.70331
2037,883532.001158,4007148.46219
2038,901605.152869,3943262.09029
2039,912689.262434,3878792.33298
2040,930722.823941,3818072.24557
2041,930177.508707,3753076.65346
2042,929904.824753,3689864.24594
2043,929359.483169,3627854.33082
2044,928814.145981,3567284.99581
2045,928268.801476,3508122.46616
2046,927723.460383,3450333.78013
2047,927178.119455,3393886.73529
2048,926632.77728,3338749.88539
2049,926360.106671,3285165.19502
2050,925814.76517,3232557.33458
2051,925814.76517,3181715.031
2052,925814.76517,3132064.34388
2053,925814.76517,3083577.34493
2054,925814.76517,3036226.7596
2055,925814.76517,2989985.95377
2056,925814.76517,2944828.91687
2057,925814.76517,2900730.24809
2058,925814.76517,2857665.14167
2059,925814.76517,2815609.37403
2060,925814.76517,2774539.28817
2061,925814.76517,2734431.78247
2062,925814.76517,2695264.29645
2063,925814.76517,2657014.79827
2064,925814.76517,2619661.77305
2065,925814.76517,2583184.20908
2066,925814.76517,2547561.5879
2067,925814.76517,2512773.87219
2068,925814.76517,2478801.49329
2069,925814.76517,2445625.34211
2070,925814.76517,2413226.75706
