year,annotation,diesel generation efficiency
2002,,13.43
2003,,13.0
2004,,13.53
2005,,13.84
2006,,13.56
2007,,13.52
2008,,13.66
2009,,13.48
2010,,14.03
2011,,15.31
2012,,14.92
2013,,14.64
2014,,14.25
2015,,15.23
2016,start of forecast,14.71
2017,,14.71
2018,,14.71
2019,,14.71
2020,,14.71
2021,,14.71
2022,,14.71
2023,,14.71
2024,,14.71
2025,,14.71
2026,,14.71
2027,,14.71
2028,,14.71
2029,,14.71
2030,,14.71
2031,,14.71
2032,,14.71
2033,,14.71
2034,,14.71
2035,,14.71
2036,,14.71
2037,,14.71
2038,,14.71
2039,,14.71
2040,,14.71
