year,annotation,Average Load
2003,,425.0
2004,,436.0
2005,,437.0
2006,,435.0
2007,,428.0
2008,,458.0
2009,,447.0
2010,,473.0
2011,,473.0
2012,,470.0
2013,,472.0
2014,,472.0
2015,,472.0
2016,start of forecast,473.0
2017,,473.0
2018,,473.0
2019,,473.0
2020,,473.0
2021,,472.0
2022,,472.0
2023,,472.0
2024,,472.0
2025,,471.0
2026,,471.0
2027,,471.0
2028,,471.0
2029,,470.0
2030,,470.0
2031,,470.0
2032,,470.0
2033,,470.0
2034,,469.0
2035,,469.0
2036,,469.0
2037,,469.0
2038,,468.0
2039,,468.0
2040,,468.0
