year,Base case diesel consumed,"Unalakleet (east fork of south river) -- south river, east fork"
2021,234988.287462,58909.3615484
2022,234629.936737,58551.0108235
2023,234528.69222,58449.7663062
2024,234443.647994,58364.7220801
2025,234262.101504,58183.1755907
2026,234139.48976,58060.5638464
2027,233941.757903,57862.83199
2028,233797.127108,57718.2011944
2029,233664.801543,57585.87563
2030,233461.240336,57382.3144224
2031,233323.733714,57244.8078009
2032,233188.601818,57109.6759041
2033,233052.534477,56973.6085632
2034,232916.29919,56837.3732768
2035,232780.487682,56701.5617688
2036,232644.449637,56565.5237237
2037,232508.421357,56429.4954439
2038,232372.46208,56293.5361662
2039,232236.453545,56157.527632
2040,232100.454848,56021.5289348
2041,231964.466012,55885.5400984
2042,231896.465026,55817.5391123
2043,231760.469618,55681.5437047
2044,231624.475307,55545.5493936
2045,231488.479171,55409.5532576
2046,231352.483886,55273.5579727
2047,231216.488642,55137.5627287
2048,231080.493087,55001.5671738
2049,231012.495429,54933.5695156
2050,230876.500042,54797.5741289
2051,230876.500042,54797.5741289
2052,230876.500042,54797.5741289
2053,230876.500042,54797.5741289
2054,230876.500042,54797.5741289
2055,230876.500042,54797.5741289
2056,230876.500042,54797.5741289
2057,230876.500042,54797.5741289
2058,230876.500042,54797.5741289
2059,230876.500042,54797.5741289
2060,230876.500042,54797.5741289
2061,230876.500042,54797.5741289
2062,230876.500042,54797.5741289
2063,230876.500042,54797.5741289
2064,230876.500042,54797.5741289
2065,230876.500042,54797.5741289
2066,230876.500042,54797.5741289
2067,230876.500042,54797.5741289
2068,230876.500042,54797.5741289
2069,230876.500042,54797.5741289
2070,230876.500042,54797.5741289
