year,Base case cost,Modeled non-residential energy efficiency
2017,2125735.12249,2209382.95841
2018,2226766.67807,2294784.59562
2019,2365685.06699,2415051.03838
2020,2428829.78922,2466084.9895
2021,2475135.91886,2501856.9731
2022,2508813.10405,2526218.5666
2023,2529861.3448,2539166.12455
2024,2550909.58554,2552262.01832
2025,2571957.82629,2565502.77127
2026,2601425.36333,2586595.60918
2027,2626683.25223,2603971.28515
2028,2643521.84482,2613771.2508
2029,2668779.73372,2631413.58603
2030,2685618.32631,2641473.96114
2031,2715085.86336,2663225.91297
