year,Base case cost,Modeled water and wastewater efficiency
2017,86783.7185928,104779.334703
2018,90890.0986011,106599.382068
2019,96504.9836474,109489.527154
2020,99136.7030625,110335.193529
2021,101102.944961,110742.465578
2022,102571.434507,110827.1274
2023,103545.370698,110590.946307
2024,104517.730054,110375.0526
2025,105491.814443,110181.298343
2026,106805.091137,110243.227192
2027,107949.867796,110208.242146
2028,108758.752575,109959.822111
2029,109938.517782,109988.257904
2030,110777.191308,109798.653897
2031,112113.906196,109972.401094
