year,Base case diesel consumed,Modeled wind power
2019,92539.0259775,78265.517126
2020,93232.490785,78958.9819335
2021,94003.0072378,79729.4983863
2022,94773.5236905,80500.014839
2023,95312.8852075,81039.376356
2024,96006.350015,81732.8411635
2025,97085.0730488,82811.5641973
2026,97855.5895016,83582.0806501
2027,98703.1575996,84429.6487481
2028,99627.777343,85354.2684915
2029,100398.293796,86124.7849442
2030,101245.861894,86972.3530423
2031,102093.429992,87819.9211403
2032,103018.049735,88744.5408836
2033,103788.566188,89515.0573364
2034,105098.444158,90824.9353061
2035,106023.063901,91749.5550494
2036,106947.683644,92674.1747928
2037,107795.251742,93521.7428908
2038,108796.923131,94523.4142794
