year,Base case cost,Modeled wind power
2019,285020.200011,471583.804922
2020,304870.244867,484613.8483
2021,318670.194536,492548.013431
2022,330759.59768,499117.40945
2023,338360.742486,501784.284457
2024,346582.923554,505170.800083
2025,356302.218089,510150.72254
2026,366958.460631,515919.246249
2027,377046.062031,521332.152884
2028,385559.498317,525502.957817
2029,396573.260493,531898.092055
2030,403970.988956,535247.484724
2031,415520.260067,542347.174729
2032,427524.906401,549983.803583
2033,440063.520637,558112.860722
2034,454025.278761,567864.038506
2035,464381.019886,574327.544548
2036,476986.669053,582872.757094
2037,487234.537875,589375.015589
2038,500465.846402,598689.075724
