year,Base case cost,Modeled water and wastewater efficiency
2017,38576.0452094,35464.2696096
2018,41018.9292888,37562.1072136
2019,44430.5087849,40508.4549904
2020,46127.5714701,41955.1806781
2021,47237.1208673,42888.5015114
2022,48178.1908027,43675.2137666
2023,48759.029344,44147.6495357
2024,49361.0173948,44639.2439077
2025,50005.0303315,45168.0700485
2026,50795.9967846,45826.5073986
2027,51506.2830946,46415.0627221
2028,52057.6576153,46865.1863455
2029,52847.4529022,47524.8697123
2030,53308.8016787,47897.6943467
2031,54119.2426571,48576.6916753
