year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2005,,2.22,3.95
2006,,2.48,4.6
2008,,3.47,5.25
2009,,4.52,6.45
2010,,4.65,4.65
2011,,4.34,5.0
2012,,4.77,6.82
2013,,5.19,6.85
2014,,,6.85
2016,,2.02,4.22
2017,,2.41,4.61
2018,,2.69,4.89
2019,,3.08,5.28
2020,,3.27,5.47
2021,,3.39,5.59
2022,,3.49,5.69
2023,,3.55,5.75
2024,,3.61,5.81
2025,,3.67,5.87
2026,,3.75,5.95
2027,,3.82,6.02
2028,,3.87,6.07
2029,,3.95,6.15
2030,,3.99,6.19
2031,,4.07,6.27
2032,,4.15,6.35
2033,,4.24,6.44
2034,,4.32,6.52
2035,,4.38,6.58
2036,,4.46,6.66
2037,,4.52,6.72
2038,,4.6,6.8
2039,,4.67,6.87
2040,,4.76,6.96
