year,Base case cost,Modeled solar power
2020,304870.244867,312208.82439
2021,318670.194536,325587.982227
2022,330759.59768,337297.683458
2023,338360.742486,344590.914846
2024,346582.923554,352512.481614
2025,356302.218089,361938.300964
2026,366958.460631,372277.154232
2027,377046.062031,382070.015224
2028,385559.498317,390326.038898
2029,396573.260493,401043.434506
2030,403970.988956,408211.507777
2031,415520.260067,419477.531311
2032,427524.906401,431205.517583
2033,440063.520637,443459.316187
2034,454025.278761,457157.291166
2035,464381.019886,467284.168838
2036,476986.669053,479638.02973
2037,487234.537875,489668.315732
2038,500465.846402,502659.327687
2039,513838.929956,515811.707531
