year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,90689.79,754.38,124229.42,93496.16
2018,91460.3,760.37,124229.42,95658.19
2019,92539.03,768.25,124229.42,96739.2
2020,93232.49,773.93,124229.42,97820.21
2021,94003.01,779.69,124229.42,98901.22
2022,94773.52,785.32,124229.42,99982.24
2023,95312.89,789.6,124229.42,101063.25
2024,96006.35,795.06,124229.42,102144.26
2025,97085.07,802.93,124229.42,104306.29
2026,97855.59,809.18,124229.42,105387.3
2027,98703.16,815.56,124229.42,106468.31
2028,99627.78,822.59,124229.42,108630.34
2029,100398.29,828.3,124229.42,109711.35
2030,101245.86,834.88,124229.42,110792.37
2031,102093.43,841.48,124229.42,111873.38
2032,103018.05,848.2,124229.42,114035.41
2033,103788.57,854.51,124229.42,115116.42
2034,105098.44,864.34,124229.42,117278.44
2035,106023.06,871.24,124229.42,118359.46
2036,106947.68,878.19,124229.42,120521.48
2037,107795.25,885.22,124229.42,121602.5
2038,108796.92,892.39,124229.42,122683.51
2039,110029.75,902.27,124229.42,124845.53
2040,111416.68,912.3,124229.42,127007.56
