year,Base case diesel consumed,Modeled solar power
2020,93232.490785,91611.3789225
2021,94003.0072378,92394.8642702
2022,94773.5236905,93178.2458667
2023,95312.8852075,93730.3696062
2024,96006.350015,94436.4945385
2025,97085.0730488,95527.7764162
2026,97855.5895016,96310.7512421
2027,98703.1575996,97170.6780462
2028,99627.777343,98107.5576259
2029,100398.293796,98890.2358364
2030,101245.861894,99749.8683982
2031,102093.429992,100609.404444
2032,103018.049735,101545.896392
2033,103788.566188,102328.190071
2034,105098.444158,103649.75105
2035,106023.063901,104585.960338
2036,106947.683644,105522.07691
2037,107795.251742,106381.049862
2038,108796.923131,107394.034866
2039,110029.749455,108638.084296
