year,Base case diesel consumed,Modeled non-residential ashp
2017,4671.18536246,-5483.56542549
2018,4671.18536246,-5483.56542549
2019,4671.18536246,-5483.56542549
2020,4671.18536246,-5483.56542549
2021,4671.18536246,-5483.56542549
2022,4671.18536246,-5483.56542549
2023,4671.18536246,-5483.56542549
2024,4671.18536246,-5483.56542549
2025,4671.18536246,-5483.56542549
2026,4671.18536246,-5483.56542549
2027,4671.18536246,-5483.56542549
2028,4671.18536246,-5483.56542549
2029,4671.18536246,-5483.56542549
2030,4671.18536246,-5483.56542549
2031,4671.18536246,-5483.56542549
