year,Base case diesel consumed,White mountain (eagle creek),"Golovin (east tributary  and upper cheenik creek) -- cheenik creek, upper"
2021,68749.3401559,26727.9592239,44883.9802237
2022,69208.1789111,27186.7979791,45342.8189789
2023,69667.0176664,27645.6367343,45801.6577341
2024,70125.8564216,28104.4754895,46260.4964893
2025,70584.6951768,28563.3142448,46719.3352445
2026,71043.533932,29022.153,47178.1739998
2027,71502.3726872,29480.9917552,47637.012755
2028,71961.2114424,29939.8305104,48095.8515102
2029,72420.0501976,30398.6692656,48554.6902654
2030,72955.3620787,30933.9811467,49090.0021465
2031,73337.7277081,31316.346776,49472.3677758
2032,73796.5664633,31775.1855312,49931.206531
2033,74102.4589667,32081.0780347,50237.0990345
2034,74484.8245961,32463.4436641,50619.4646638
2035,74867.1902254,32845.8092934,51001.8302932
2036,75249.5558548,33228.1749227,51384.1959225
2037,75708.39461,33687.013678,51843.0346777
2038,76090.7602393,34069.3793073,52225.4003071
2039,76473.1258687,34451.7449366,52607.7659364
2040,76779.0183721,34757.6374401,52913.6584399
2041,77161.3840015,35140.0030695,53296.0240692
2042,77467.276505,35445.8955729,53601.9165727
2043,77849.6421343,35828.2612023,53984.2822021
2044,78232.0077637,36210.6268316,54366.6478314
2045,78537.9002671,36516.5193351,54672.5403349
2046,78843.7927706,36822.4118386,54978.4328384
2047,79149.6852741,37128.3043421,55284.3253418
2048,79455.5777775,37434.1968455,55590.2178453
2049,79761.470281,37740.089349,55896.1103488
2050,80067.3627845,38045.9818525,56202.0028523
2051,80067.3627845,38045.9818525,56202.0028523
2052,80067.3627845,38045.9818525,56202.0028523
2053,80067.3627845,38045.9818525,56202.0028523
2054,80067.3627845,38045.9818525,56202.0028523
2055,80067.3627845,38045.9818525,56202.0028523
2056,80067.3627845,38045.9818525,56202.0028523
2057,80067.3627845,38045.9818525,56202.0028523
2058,80067.3627845,38045.9818525,56202.0028523
2059,80067.3627845,38045.9818525,56202.0028523
2060,80067.3627845,38045.9818525,56202.0028523
2061,80067.3627845,38045.9818525,56202.0028523
2062,80067.3627845,38045.9818525,56202.0028523
2063,80067.3627845,38045.9818525,56202.0028523
2064,80067.3627845,38045.9818525,56202.0028523
2065,80067.3627845,38045.9818525,56202.0028523
2066,80067.3627845,38045.9818525,56202.0028523
2067,80067.3627845,38045.9818525,56202.0028523
2068,80067.3627845,38045.9818525,56202.0028523
2069,80067.3627845,38045.9818525,56202.0028523
2070,80067.3627845,38045.9818525,56202.0028523
