year,Base case cost,Modeled wind power
2019,215026.370586,364978.023738
2020,228773.179692,371734.973239
2021,239247.703743,376130.096599
2022,247765.280502,379150.32988
2023,254284.614482,380752.202716
2024,260166.927324,381968.638193
2025,266104.300816,383326.556676
2026,273517.605638,385918.6287
2027,280289.300934,388114.597273
2028,286405.621541,389898.765533
2029,293301.2033,392377.708326
2030,299116.984523,394179.783669
2031,306551.70182,397186.492578
2032,315111.338798,401228.236458
2033,322345.696505,404179.275244
2034,330712.621207,408169.605156
2035,336153.684112,409954.597701
2036,344642.965815,414202.037162
2037,351286.95099,417158.458979
2038,359909.295932,421667.471757
