year,Base case cost,Modeled solar power (pv)
2016,137562.153006,145392.567873
2017,165277.543284,172424.048903
2018,185948.993937,192556.236121
2019,215026.370586,220962.131837
2020,228773.179692,234321.32471
2021,239247.703743,244474.756504
2022,247765.280502,252712.992603
2023,254284.614482,258993.762937
2024,260166.927324,264654.485737
2025,266104.300816,270375.517645
2026,273517.605638,277555.133301
2027,280289.300934,284109.670782
2028,286405.621541,290024.983074
2029,293301.2033,296713.385132
2030,299116.984523,302348.628924
2031,306551.70182,309574.83353
2032,315111.338798,317920.084985
2033,322345.696505,324955.590993
2034,330712.621207,333117.758694
2035,336153.684112,338400.597481
