year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,13850.43,690535.0,690535.0
2004,,13850.43,747478.0,747478.0
2005,,13850.43,700994.0,700994.0
2006,,13850.43,724034.0,724034.0
2007,,13850.43,735917.0,735917.0
2008,,13850.43,739025.0,739025.0
2009,,13850.43,745800.0,745800.0
2010,,13850.43,753372.0,753372.0
2011,,13850.43,781700.0,781700.0
2012,,13850.43,839827.0,839827.0
2013,,13850.43,837602.0,837602.0
2014,,13850.43,829901.0,829901.0
2015,,13850.43,941408.0,941408.0
2016,start of forecast,13850.43,869000.0,869000.0
2017,,13850.43,875000.0,875000.0
2018,,13850.43,881000.0,881000.0
2019,,13850.43,887000.0,887000.0
2020,,13850.43,893000.0,893000.0
2021,,13850.43,899000.0,899000.0
2022,,13850.43,905000.0,905000.0
2023,,13850.43,911000.0,911000.0
2024,,13850.43,917000.0,917000.0
2025,,13850.43,923000.0,923000.0
2026,,13850.43,929000.0,929000.0
2027,,13850.43,935000.0,935000.0
2028,,13850.43,941000.0,941000.0
2029,,13850.43,947000.0,947000.0
2030,,13850.43,954000.0,954000.0
2031,,13850.43,959000.0,959000.0
2032,,13850.43,965000.0,965000.0
2033,,13850.43,969000.0,969000.0
2034,,13850.43,974000.0,974000.0
2035,,13850.43,979000.0,979000.0
2036,,13850.43,984000.0,984000.0
2037,,13850.43,990000.0,990000.0
2038,,13850.43,995000.0,995000.0
2039,,13850.43,1000000.0,1000000.0
2040,,13850.43,1004000.0,1004000.0
