year,Base case diesel consumed,Modeled wind power
2019,67831.6626455,48632.2241041
2020,68290.5014007,49091.0628593
2021,68749.3401559,49549.9016145
2022,69208.1789111,50008.7403697
2023,69667.0176664,50467.579125
2024,70125.8564216,50926.4178802
2025,70584.6951768,51385.2566354
2026,71043.533932,51844.0953906
2027,71502.3726872,52302.9341458
2028,71961.2114424,52761.772901
2029,72420.0501976,53220.6116562
2030,72955.3620787,53755.9235373
2031,73337.7277081,54138.2891666
2032,73796.5664633,54597.1279219
2033,74102.4589667,54903.0204253
2034,74484.8245961,55285.3860547
2035,74867.1902254,55667.751684
2036,75249.5558548,56050.1173134
2037,75708.39461,56508.9560686
2038,76090.7602393,56891.3216979
