year,Base case diesel consumed,Modeled solar power (pv)
2016,66455.1463799,65237.0827191
2017,66913.9851351,65705.6659836
2018,67372.8238903,66174.171292
2019,67831.6626455,66642.599268
2020,68290.5014007,67110.9505303
2021,68749.3401559,67579.2256924
2022,69208.1789111,68047.4253634
2023,69667.0176664,68515.550147
2024,70125.8564216,68983.6006423
2025,70584.6951768,69451.5774438
2026,71043.533932,69919.4811409
2027,71502.3726872,70387.3123184
2028,71961.2114424,70855.0715566
2029,72420.0501976,71322.7594309
2030,72955.3620787,71866.8496381
2031,73337.7277081,72257.9233669
2032,73796.5664633,72725.4005569
2033,74102.4589667,73039.8623876
2034,74484.8245961,73430.7287896
2035,74867.1902254,73821.5271854
