year,Base case cost,White mountain (eagle creek),"Golovin (east tributary  and upper cheenik creek) -- cheenik creek, upper"
2021,239247.703743,1994731.85516,1590195.36384
2022,247765.280502,1962058.77026,1568304.35205
2023,254284.614482,1929398.1339,1545721.4515
2024,260166.927324,1897334.70473,1523363.05083
2025,266104.300816,1866162.53953,1501691.41686
2026,273517.605638,1836526.99781,1481683.30633
2027,280289.300934,1807425.2684,1461850.6822
2028,286405.621541,1778824.89552,1442165.65955
2029,293301.2033,1751386.34992,1423619.77717
2030,299116.984523,1724366.61375,1404984.46995
2031,306551.70182,1698557.23585,1387872.05428
2032,315111.338798,1674203.11317,1372204.98003
2033,322345.696505,1649593.35832,1355949.81539
2034,330712.621207,1626413.69404,1341122.85185
2035,336153.684112,1602479.64071,1324726.97088
2036,344642.965815,1580726.16903,1311007.3411
2037,351286.95099,1558890.35875,1296561.61973
2038,359909.295932,1538513.38464,1283914.40009
2039,367071.00417,1518031.63277,1270689.07882
2040,375449.39984,1498596.54108,1258693.74115
2041,377319.167767,1476626.58102,1242553.89326
2042,378814.982109,1454841.41099,1226462.19214
2043,380684.750037,1433975.84271,1211156.65206
2044,382554.517964,1413643.13379,1196253.65821
2045,384050.332306,1393456.84192,1181369.82244
2046,385546.146648,1373778.72439,1166869.8847
2047,387041.96099,1354596.87093,1152744.84743
2048,388537.775332,1335899.65032,1138985.92387
2049,390033.589674,1317675.70377,1125584.5331
2050,391529.404016,1299913.93926,1112532.29567
2051,391529.404016,1281107.70993,1098325.21388
2052,391529.404016,1262742.25159,1084451.11056
2053,391529.404016,1244807.23375,1070902.18159
2054,391529.404016,1227292.56774,1057670.80553
2055,391529.404016,1210188.40177,1044749.53989
2056,391529.404016,1193485.11471,1032131.11642
2057,391529.404016,1177173.31096,1019808.43727
2058,391529.404016,1161243.81504,1007774.57086
2059,391529.404016,1145687.66682,996022.748293
2060,391529.404016,1130496.11571,984546.35899
2061,391529.404016,1115660.61659,973338.947568
2062,391529.404016,1101172.82449,962394.209857
2063,391529.404016,1087024.58997,951705.989402
2064,391529.404016,1073207.95483,941268.274212
2065,391529.404016,1059715.14697,931075.192894
2066,391529.404016,1046538.57675,921121.011886
2067,391529.404016,1033670.83251,911400.132076
2068,391529.404016,1021104.67591,901907.085309
2069,391529.404016,1008833.03865,892636.53185
2070,391529.404016,996849.017914,883583.257014
