year,Base case cost,Modeled water and wastewater efficiency
2017,93069.5399716,76144.0579345
2018,98310.9425734,79565.7355904
2019,105707.347653,84502.9992871
2020,108997.509733,86569.6937757
2021,111395.65783,88017.1711727
2022,113259.087455,89095.5804969
2023,114586.278648,89803.7059555
2024,115736.33281,90392.9947552
2025,116887.387953,90988.0976358
2026,118398.759387,91840.6180652
2027,119730.4359,92572.1101616
2028,120882.335299,93182.4017569
2029,122224.507533,93930.7971048
2030,123204.980431,94430.2886117
2031,124723.280546,95310.9611741
