year,Base case cost,Modeled non-residential energy efficiency
2017,724500.595217,783685.361692
2018,765676.105969,818660.058679
2019,823889.759102,869359.996653
2020,849446.972673,890114.209715
2021,867904.960252,904408.276369
2022,882103.412235,914850.374901
2023,892042.328624,921439.03928
2024,900561.399814,926782.51735
2025,909080.471004,932184.250741
2026,920439.232591,940252.553614
2027,930378.14898,947071.573345
2028,938897.22017,952640.007815
2029,948836.136558,959566.264942
2030,955935.36255,963934.583679
2031,967294.124137,972267.950131
