year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,97751.6605301,72336.2287923
2018,97751.6605301,72336.2287923
2019,97751.6605301,72336.2287923
2020,97751.6605301,72336.2287923
2021,97751.6605301,72336.2287923
2022,97751.6605301,72336.2287923
2023,97751.6605301,72336.2287923
2024,97751.6605301,72336.2287923
2025,97751.6605301,72336.2287923
2026,97751.6605301,72336.2287923
2027,97751.6605301,72336.2287923
2028,97751.6605301,72336.2287923
2029,97751.6605301,72336.2287923
2030,97751.6605301,72336.2287923
2031,97751.6605301,72336.2287923
