year,annotation,diesel generation efficiency
2002,,12.1
2003,,11.07
2004,,12.86
2005,,12.26
2006,,12.53
2007,,12.42
2008,,12.37
2009,,12.23
2010,,12.82
2011,,12.82
2012,,12.63
2013,,12.67
2014,,13.0
2015,,13.56
2016,start of forecast,13.08
2017,,13.08
2018,,13.08
2019,,13.08
2020,,13.08
2021,,13.08
2022,,13.08
2023,,13.08
2024,,13.08
2025,,13.08
2026,,13.08
2027,,13.08
2028,,13.08
2029,,13.08
2030,,13.08
2031,,13.08
2032,,13.08
2033,,13.08
2034,,13.08
2035,,13.08
2036,,13.08
2037,,13.08
2038,,13.08
2039,,13.08
2040,,13.08
