year,Base case diesel consumed,Modeled residential energy efficiency
2017,880011.333136,682742.414709
2018,878629.28487,681360.366443
2019,877247.236605,679978.318178
2020,875865.18834,678596.269912
2021,874483.140074,677214.221647
2022,871719.043543,674450.125116
2023,870336.995278,673068.076851
2024,867572.898747,670303.98032
2025,864808.802216,667539.883789
2026,862044.705686,664775.787258
2027,859280.609155,662011.690728
2028,856516.512624,659247.594197
2029,855134.464359,657865.545931
2030,853752.416093,656483.497666
2031,850988.319562,653719.401135
