year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,770522.196313,570186.425272
2018,770522.196313,570186.425272
2019,770522.196313,570186.425272
2020,770522.196313,570186.425272
2021,770522.196313,570186.425272
2022,770522.196313,570186.425272
2023,770522.196313,570186.425272
2024,770522.196313,570186.425272
2025,770522.196313,570186.425272
2026,770522.196313,570186.425272
2027,770522.196313,570186.425272
2028,770522.196313,570186.425272
2029,770522.196313,570186.425272
2030,770522.196313,570186.425272
2031,770522.196313,570186.425272
