year,Base case cost,Modeled biomass for heat (pellet)
2017,20535.3603979,23947.24295
2018,22458.8403979,25259.0770005
2019,25094.7203979,27080.5236609
2020,26448.2803979,27988.5919403
2021,27303.1603979,28542.2686506
2022,28015.5603979,28995.6218189
2023,28443.0003979,29246.9807471
2024,28870.4403979,29499.5950022
2025,29297.8803979,29753.4351624
2026,29867.8003979,30110.1123429
2027,30366.4803979,30417.1387142
2028,30793.9203979,30674.486875
2029,31292.6003979,30983.7699135
2030,31648.8003979,31192.5019274
2031,32218.7203979,31554.7570154
2032,,
2033,,
2034,,
2035,,
2036,,
