year,Base case diesel consumed,Modeled diesel efficiency
2019,311225.297227,282932.088388
2020,311431.832975,283119.848159
2021,311569.523474,283245.02134
2022,311776.059222,283432.781111
2023,311913.74972,283557.954291
2024,311982.59497,283620.540882
2025,312120.285469,283745.714062
2026,312120.285469,283745.714062
2027,312120.285469,283745.714062
2028,312189.130718,283808.300653
2029,312120.285469,283745.714062
2030,312120.285469,283745.714062
2031,312051.440219,283683.127472
2032,312051.440219,283683.127472
2033,311982.59497,283620.540882
2034,311844.904471,283495.367701
2035,311776.059222,283432.781111
2036,311638.368723,283307.60793
2037,311569.523474,283245.02134
2038,311431.832975,283119.848159
