year,Base case cost,Modeled residential energy efficiency
2017,851556.570977,822179.94287
2018,938014.33269,887893.512547
2019,1051450.53877,973462.654914
2020,1112937.89583,1020177.19063
2021,1150644.40264,1046685.66872
2022,1187174.09633,1074160.28572
2023,1207429.59799,1087156.78009
2024,1224002.28117,1097327.90892
2025,1252161.34167,1118560.46015
2026,1276503.28448,1135005.54277
2027,1296672.32281,1148229.10367
2028,1313827.59679,1159142.21735
2029,1336778.57144,1174678.94164
2030,1350688.25305,1183156.98257
2031,1375262.02389,1200088.60421
2032,1391110.16987,1208104.62613
2033,1416659.7231,1225877.32611
2034,1443590.33327,1244789.17181
2035,1460163.01644,1255614.95058
2036,1476977.07975,1264415.80585
